f6001300000000000000000090651602| START_THREAD
08000000ac0000000000000000000000| UNKNOWN_08
0c00ffff000000000000000000000000| LOAD_MAP
2d090000220000000000000000000000| LOAD
44000000160000000000000000000000| PLAY_SONG
e4000400000000000000000000000000| SET_FLAG
22011e00000000000000000000000000| UNKNOWN_22
e3000500000000000000000000000000| WAIT_FLAG
db001e00000000000000000000000000| SLEEP
340000000000000000000000b0651602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
23011e00000000000000000000000000| UNKNOWN_23
ef000000000000000000000000000000| END
