f6002e000000000000000000c4651602| START_THREAD
08000000ad0000000000000000000000| UNKNOWN_08
0cffffff000000000000000000000000| LOAD_MAP
440000001a0000000000000000000000| PLAY_SONG
4c000000fc0100000000000000000000| PLAY_SOUND
97000200010000000100000000000000| UNKNOWN_97
22011000000000000000000000000000| UNKNOWN_22
e3000500000000000000000000000000| WAIT_FLAG
db00d200000000000000000000000000| SLEEP
23011e00000000000000000000000000| UNKNOWN_23
4e001e00fc0100000000000000000000| UNKNOWN_4e
ef000000000000000000000000000000| END
