f6008c010000000000000000b4661602| START_THREAD
08000000d10000000000000000000000| UNKNOWN_08
0cffffff000000000000000000000000| LOAD_MAP
440000001a0000000000000000000000| PLAY_SONG
97000200050000000200000000000000| UNKNOWN_97
db000f00000000000000000000000000| SLEEP
2700050010000000ffffff0000000000| UNKNOWN_27
e3000300000000000000000000000000| WAIT_FLAG
48003c00000000000000000000000000| FADE_OUT
280105003c000000ffffff0000000000| UNKNOWN_28
db007800000000000000000000000000| SLEEP
31000000000000000000000000000000| UNKNOWN_31
2b000000ffffffffffffffff00000000| UNKNOWN_2b
db00f000000000000000000000000000| SLEEP
ef000000000000000000000000000000| END
