f60013000000000000000000d0651602| START_THREAD
08000000b10000000000000000000000| UNKNOWN_08
0cffffff000000000000000000000000| LOAD_MAP
22011e00000000000000000000000000| UNKNOWN_22
e0002d00000000000000000000000000| UNKNOWN_e0
db00f000000000000000000000000000| SLEEP
2b000000ffffffffffffffff00000000| UNKNOWN_2b
3800ffff000000000000000040651602| UNKNOWN_38
30000000000000000000000000000000| MSG_EXIT
db000100000000000000000000000000| SLEEP
23017800000000000000000000000000| UNKNOWN_23
db005a00000000000000000000000000| SLEEP
2d090000010000000000000000000000| LOAD
2d090100220000000000000000000000| LOAD
26010000000000000000000000000000| UNKNOWN_26
39001e00000000000000000040661602| MSG_FLOATY
39001e0000000000000000000c671602| MSG_FLOATY
39001e000000000000000000b4651602| MSG_FLOATY
39001e00000000000000000090661602| MSG_FLOATY
39001e000000000000000000a0651602| MSG_FLOATY
30000000000000000000000000000000| MSG_EXIT
db000100000000000000000000000000| SLEEP
25010000000000000000000000000000| UNKNOWN_25
db003c00000000000000000000000000| SLEEP
3b090000000000000000000000000000| UNKNOWN_3b
a60011000b0000000000000000000000| UNKNOWN_a6
d300ffffffffffff00000000f0651602| UNKNOWN_d3
d9000000000000000000000050651602| OPTION
d9000100000000000000000044651602| OPTION
e7000100000000000000000000000000| GOTO_LABEL
f4000000000000000000000000000000| LABEL
3c0e0000000000000000000000000000| REWARD
f4000100000000000000000000000000| LABEL
30000000000000000000000000000000| MSG_EXIT
db003c00000000000000000000000000| SLEEP
ef000000000000000000000000000000| END
