f6004c080000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
530000001f0000000000000000000000| UNKNOWN_53
53000000000000010000000000000000| UNKNOWN_53
60000000300000000000000000000000| UNKNOWN_60
e3000700000000000000000000000000| WAIT_FLAG
6b000001030000000000000000000000| MOVETO_GRID
911e0200000000000000000000000000| ROTATE
db000f00000000000000000000000000| SLEEP
68000001080000000000000000000000| CHANGE_Z
4d000000c30100000000000000000000| STOP_SOUND
54001600000000000000000000000000| SET_ANIM
db001400000000000000000000000000| SLEEP
4c000000f50100000000000000000000| PLAY_SOUND
3600ffff00000000000000004c671602| UNKNOWN_36
db003c00000000000000000000000000| SLEEP
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
e4000500000000000000000000000000| SET_FLAG
e3000700000000000000000000000000| WAIT_FLAG
4c000000c30100000000000000000000| PLAY_SOUND
54000200000000000000000000000000| SET_ANIM
68000001300000000000000000000000| CHANGE_Z
db000f00000000000000000000000000| SLEEP
911e0100060000000000000000000000| ROTATE
6b000001040000000000000000000000| MOVETO_GRID
e4000500000000000000000000000000| SET_FLAG
f1000000000000000000000000000000| REMOVE
