f6001f00000000000000000088651602| START_THREAD
08000000e10000000000000000000000| UNKNOWN_08
0c00ffff000000000000000000000000| LOAD_MAP
44000000280000000000000000000000| PLAY_SONG
22012800000000000000000000000000| UNKNOWN_22
db000400000000000000000000000000| SLEEP
e4000500000000000000000000000000| SET_FLAG
db001400000000000000000000000000| SLEEP
e4000400000000000000000000000000| SET_FLAG
e3000300000000000000000000000000| WAIT_FLAG
2801010050000000ffffff0000000000| UNKNOWN_28
e0002800000000000000000000000000| UNKNOWN_e0
ef000000000000000000000000000000| END
