f6001602000000000000000074681602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
3c2c0000370000000000000000000000| REWARD
db000a00000000000000000000000000| SLEEP
3c2c0000420000000100000000000000| REWARD
db000a00000000000000000000000000| SLEEP
3c2c00003f0000000100000000000000| REWARD
30000000000000000000000000000000| MSG_EXIT
e4000300000000000000000000000000| SET_FLAG
f0000000000000000000000000000000| CLOSE
