f60024050000000000000000ac721602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090100220000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
2e000000000000000000000000000000| KAOMADO
33000000000000000000000024801602| MSG_THOUGHT
33000000000000000000000050801602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
9b000001000000000000000000000000| UNKNOWN_9b
e4000300000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
