f600f0080000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090200360000000000000000000000| LOAD
2d0903003c0000000000000000000000| LOAD
2d0904003f0000000000000000000000| LOAD
db000100000000000000000000000000| SLEEP
e4000400000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
0c02ffff000000000000000000000000| LOAD_MAP
e3000500000000000000000000000000| WAIT_FLAG
e4000300000000000000000000000000| SET_FLAG
f0000000000000000000000000000000| CLOSE
