f6000c060000000000000000ac721602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090200420000000000000000000000| LOAD
2d090300440000000000000000000000| LOAD
2d090400450000000000000000000000| LOAD
45003c00010000000000000000000000| FADE_IN
e3000500000000000000000000000000| WAIT_FLAG
df000000000000000000000000000000| UNKNOWN_df
9b000001000000000000000000000000| UNKNOWN_9b
e4000300000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
