f600e108000000000000000070801602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070100000000000000000000000000| LOAD
e3000600000000000000000000000000| WAIT_FLAG
530000001f0000000000000000000000| UNKNOWN_53
6b000001130000000000000000000000| MOVETO_GRID
91040a00040000000000000000000000| ROTATE
e3000600000000000000000000000000| WAIT_FLAG
91040a00060000000000000000000000| ROTATE
e3000600000000000000000000000000| WAIT_FLAG
52000000001000000000000000000000| UNKNOWN_52
ef000000000000000000000000000000| END
