f600e8100000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
e4000600000000000000000000000000| SET_FLAG
e4000600000000000000000000000000| SET_FLAG
e4000a00000000000000000000000000| SET_FLAG
e4000400000000000000000000000000| SET_FLAG
e4000600000000000000000000000000| SET_FLAG
530000001f0000000000000000000000| UNKNOWN_53
84000010100000002e00000000000000| UNKNOWN_84
93040a00360000000000000000000000| UNKNOWN_93
e3000500000000000000000000000000| WAIT_FLAG
db000a00000000000000000000000000| SLEEP
520000001f0000000000000000000000| UNKNOWN_52
e4000600000000000000000000000000| SET_FLAG
2e0e0100010000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000c0d51602| CASE
d1000000000000000000000020991602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000a00000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e030500000000000000000000000000| KAOMADO
340005000000000000000000989f1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000a8731602| CASE
d10000000000000000000000d07c1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e150500000000000000000000000000| KAOMADO
340005000000000000000000a4c11602| MSG_SPEECH
340005000000000000000000a4681702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
3400ffff0000000000000000680d1702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000400000000000000000000000000| SET_FLAG
e4000700000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
e4000a00000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
440000000a0000000000000000000000| PLAY_SONG
db001000000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e1501000c0000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000007a1602| CASE
d10000000000000000000000d0c11602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
e4000a00000000000000000000000000| SET_FLAG
db001000000000000000000000000000| SLEEP
2e030200000000000000000000000000| KAOMADO
340002000000000000000000c0211702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e150100030000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000060961602| CASE
d00003000000000000000000e0ce1602| CASE
d10000000000000000000000eca51602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e150200000000000000000000000000| KAOMADO
34000200000000000000000054731702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
cf022600010000000000000000000000| VARY_MSG
d000010000000000000000005c671602| CASE
d100000000000000000000005c791602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
db000a00000000000000000000000000| SLEEP
2e150200000000000000000000000000| KAOMADO
34000200000000000000000080061702| MSG_SPEECH
34000200000000000000000030141702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e150200410000000000000000000000| KAOMADO
340002000000000000000000a0ac1602| MSG_SPEECH
340002000000000000000000dc881702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e0f0500000000000000000000000000| KAOMADO
340005000000000000000000d8b51602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
2e150200000000000000000000000000| KAOMADO
340002000000000000000000a82d1702| MSG_SPEECH
34000200000000000000000038b01702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e150200410000000000000000000000| KAOMADO
34000200000000000000000008a11702| MSG_SPEECH
e4000a00000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
34000200000000000000000054bb1702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e150200000000000000000000000000| KAOMADO
34000200000000000000000068141702| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
