f600b2110000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070100000000000000000000000000| LOAD
52000000000002000000000000000000| UNKNOWN_52
6b00007f1a0000000000000000000000| MOVETO_GRID
6a00000100000000fdffffff00000000| MOVE
e4000500000000000000000000000000| SET_FLAG
6a00007ff8ffffff0000000000000000| MOVE
8b000200000000000000000000000000| FACE_DIR
530000001f0000000000000000000000| UNKNOWN_53
e3000600000000000000000000000000| WAIT_FLAG
53000000000002000000000000000000| UNKNOWN_53
52000000001000000000000000000000| UNKNOWN_52
ef000000000000000000000000000000| END
