f600f10e000000000000000070801602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090500620000000000000000000000| LOAD
2d090600630000000000000000000000| LOAD
db001e00000000000000000000000000| SLEEP
93040100040000000000000000000000| UNKNOWN_93
91040200020000000000000000000000| ROTATE
e4000400000000000000000000000000| SET_FLAG
e4000600000000000000000000000000| SET_FLAG
6b0000012d0000000000000000000000| MOVETO_GRID
6b0000012b0000000000000000000000| MOVETO_GRID
6a000001100000000000000000000000| MOVE
8b010100000000000000000000000000| FACE_DIR
e3000500000000000000000000000000| WAIT_FLAG
9b000001000000000000000000000000| UNKNOWN_9b
db001e00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
52000000001000000000000000000000| UNKNOWN_52
e4000700000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
e4000300000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
