f6006c0500000000000000008c6d1602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090200630000000000000000000000| LOAD
2d090400520000000000000000000000| LOAD
e4000400000000000000000000000000| SET_FLAG
db000100000000000000000000000000| SLEEP
6b0000010c0000000000000000000000| MOVETO_GRID
8b1e0400000000000000000000000000| FACE_DIR
44000000060000000000000000000000| PLAY_SONG
2e020100010000000000000000000000| KAOMADO
34000100000000000000000080a11602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
9b000001000000000000000000000000| UNKNOWN_9b
e4000400000000000000000000000000| SET_FLAG
44000000080000000000000000000000| PLAY_SONG
52000000001000000000000000000000| UNKNOWN_52
e4000800000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
