f60013000000000000000000e8671602| START_THREAD
08000000c80000000000000000000000| UNKNOWN_08
0c00ffff000000000000000000000000| LOAD_MAP
44000000720000000000000000000000| PLAY_SONG
22011e00000000000000000000000000| UNKNOWN_22
e3000300000000000000000000000000| WAIT_FLAG
3b390100000000000000000000000000| UNKNOWN_3b
23013c00000000000000000000000000| UNKNOWN_23
48003c00000000000000000000000000| FADE_OUT
26010000000000000000000000000000| UNKNOWN_26
db000100000000000000000000000000| SLEEP
25010000000000000000000000000000| UNKNOWN_25
3b390000000000000000000000000000| UNKNOWN_3b
ef000000000000000000000000000000| END
