f6000d030000000000000000946b1602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
e4000800000000000000000000000000| SET_FLAG
3200ffff0000000000000000cc981602| MSG_PLAIN
47000000000000000000000000000000| UNKNOWN_47
49000000cd0000000000000000000000| UNKNOWN_49
3200ffff00000000000000000c8b1602| MSG_PLAIN
e100cd00000000000000000000000000| UNKNOWN_e1
30000000000000000000000000000000| MSG_EXIT
e4000300000000000000000000000000| SET_FLAG
f0000000000000000000000000000000| CLOSE
