f6002500000000000000000074681602| START_THREAD
3b390100000000000000000000000000| UNKNOWN_3b
47000000000000000000000000000000| UNKNOWN_47
23010000000000000000000000000000| UNKNOWN_23
26010000000000000000000000000000| UNKNOWN_26
08000000b20000000000000000000000| UNKNOWN_08
25010000000000000000000000000000| UNKNOWN_25
0c00ffff000000000000000000000000| LOAD_MAP
45003c00650000000000000000000000| FADE_IN
22013c00000000000000000000000000| UNKNOWN_22
3b390400000000000000000000000000| UNKNOWN_3b
e3000300000000000000000000000000| WAIT_FLAG
48001e00000000000000000000000000| FADE_OUT
02001e00000000000000000000000000| WARPTO_DIRECT
ef000000000000000000000000000000| END
