f6004c00000000000000000074681602| START_THREAD
8b000200000000000000000000000000| FACE_DIR
54000200000000000000000000000000| SET_ANIM
2d010000000000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
3300000000000000000000002c6e1602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
db001400000000000000000000000000| SLEEP
3b160000000000000000000000000000| UNKNOWN_3b
3d000000010000000000000000000000| RENAME
e4000300000000000000000000000000| SET_FLAG
f0000000000000000000000000000000| CLOSE
