f600d9060000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070100000000000000000000000000| LOAD
6b00997f0a0000000000000000000000| MOVETO_GRID
8b000000000000000000000000000000| FACE_DIR
e3000600000000000000000000000000| WAIT_FLAG
91040200000000000000000000000000| ROTATE
db000a00000000000000000000000000| SLEEP
e4000500000000000000000000000000| SET_FLAG
da000000000000000000000000000000| UNKNOWN_da
cc000000010000000000000000000000| TEST_EQUALS
cc000100020000000000000000000000| TEST_EQUALS
f20039000000000000000000b88c1602| UNKNOWN_f2
f0000000000000000000000000000000| CLOSE
