f600140b0000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
6200007f00000000fcffffff00000000| MOVE_NOROTATE
2d070000000000000000000000000000| LOAD
2d090200420000000000000000000000| LOAD
2d090300440000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
e4000600000000000000000000000000| SET_FLAG
e4000600000000000000000000000000| SET_FLAG
e4000600000000000000000000000000| SET_FLAG
e4000700000000000000000000000000| SET_FLAG
e4000600000000000000000000000000| SET_FLAG
9b000001000000000000000000000000| UNKNOWN_9b
e4000300000000000000000000000000| SET_FLAG
52000000001000000000000000000000| UNKNOWN_52
e4000600000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
