f600c30b0000000000000000c0931602| START_THREAD
54000200000000000000000000000000| SET_ANIM
8b000300000000000000000000000000| FACE_DIR
2d070000000000000000000000000000| LOAD
2d090500430000000000000000000000| LOAD
a6003900000000000000000000000000| UNKNOWN_a6
df000000000000000000000000000000| UNKNOWN_df
3c2b0000060000000100000000000000| REWARD
3c2c0000140000000100000000000000| REWARD
3c2c0000490000000100000000000000| REWARD
e4000600000000000000000000000000| SET_FLAG
30000000000000000000000000000000| MSG_EXIT
e4000300000000000000000000000000| SET_FLAG
f0000000000000000000000000000000| CLOSE
