f6009609000000000000000070801602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
db000100000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
48007800000000000000000000000000| FADE_OUT
e4000400000000000000000000000000| SET_FLAG
530000001f0000000000000000000000| UNKNOWN_53
86000001160000000000000000000000| MOVE_CAMERA_TO_WAYPOINT
93040b004e0000000000000000000000| UNKNOWN_93
e4000600000000000000000000000000| SET_FLAG
db001e00000000000000000000000000| SLEEP
48007800000000000000000000000000| FADE_OUT
e4000300000000000000000000000000| SET_FLAG
f0000000000000000000000000000000| CLOSE
