f600c70a000000000000000070801602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070100000000000000000000000000| LOAD
e3000600000000000000000000000000| WAIT_FLAG
93040b004e0000000000000000000000| UNKNOWN_93
e4000500000000000000000000000000| SET_FLAG
e3000600000000000000000000000000| WAIT_FLAG
530000001f0000000000000000000000| UNKNOWN_53
86000001170000000000000000000000| MOVE_CAMERA_TO_WAYPOINT
8e0100004e0000000000000000000000| UNKNOWN_8e
e3000600000000000000000000000000| WAIT_FLAG
93040b004d0000000000000000000000| UNKNOWN_93
e4000500000000000000000000000000| SET_FLAG
f0000000000000000000000000000000| CLOSE
