f600240500000000000000008c6d1602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
2d090200630000000000000000000000| LOAD
db000100000000000000000000000000| SLEEP
3400010000000000000000001c821602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
d500ffff010000000000000094891602| QUESTION
d90001000000000000000000b4651602| OPTION
d9000200000000000000000058651602| OPTION
f4000100000000000000000000000000| LABEL
48005a00000000000000000000000000| FADE_OUT
30000000000000000000000000000000| MSG_EXIT
1d011000ffffffff0000000000000000| UNKNOWN_1d
f0000000000000000000000000000000| CLOSE
