f60017080000000000000000ac721602| START_THREAD
e8003500000000000000000000000000| EXECUTE
2d070000000000000000000000000000| LOAD
2d090100220000000000000000000000| LOAD
2d090200520000000000000000000000| LOAD
2d090300620000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
e8002000000000000000000000000000| EXECUTE
db000f00000000000000000000000000| SLEEP
e8002200000000000000000000000000| EXECUTE
db002d00000000000000000000000000| SLEEP
33000000000000000000000018771602| MSG_THOUGHT
330000000000000000000000b49b1602| MSG_THOUGHT
330000000000000000000000f0881602| MSG_THOUGHT
4c000000d00100000000000000000000| PLAY_SOUND
e8002800000000000000000000000000| EXECUTE
330000000000000000000000c06b1602| MSG_THOUGHT
330000000000000000000000e4671602| MSG_THOUGHT
330000000000000000000000cc711602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
e4000300000000000000000000000000| SET_FLAG
f0000000000000000000000000000000| CLOSE
