f6009c1c0000000000000000c0931602| START_THREAD
ab000000ffffffff0000000000000000| UNKNOWN_ab
a6000d00090000000000000000000000| UNKNOWN_a6
a6000f000c0000000000000000000000| UNKNOWN_a6
a6001d00000000000000000000000000| UNKNOWN_a6
a6001e00000000000000000000000000| UNKNOWN_a6
47000000000000000000000000000000| UNKNOWN_47
23010000000000000000000000000000| UNKNOWN_23
26010000000000000000000000000000| UNKNOWN_26
08000000090000000000000000000000| UNKNOWN_08
25010000000000000000000000000000| UNKNOWN_25
0cffffff000000000000000000000000| LOAD_MAP
22013c00000000000000000000000000| UNKNOWN_22
e3000300000000000000000000000000| WAIT_FLAG
ea003200ffffffff0000000000000000| UNKNOWN_ea
10000000000000000000000000000000| UNKNOWN_10
ef000000000000000000000000000000| END
