f6008800000000000000000040671602| START_THREAD
47000000000000000000000000000000| UNKNOWN_47
3b390100000000000000000000000000| UNKNOWN_3b
08000000c30000000000000000000000| UNKNOWN_08
0b0000000d0000000000000000000000| UNKNOWN_0b
0c00ffff000000000000000000000000| LOAD_MAP
44000000190000000000000000000000| PLAY_SONG
3b3a0000000000000000000000000000| UNKNOWN_3b
22011e00000000000000000000000000| UNKNOWN_22
e4000500000000000000000000000000| SET_FLAG
e3000300000000000000000000000000| WAIT_FLAG
ea000200ffffffff0000000000000000| UNKNOWN_ea
ef000000000000000000000000000000| END
