f6002f000000000000000000e8671602| START_THREAD
54000200000000000000000000000000| SET_ANIM
2d070000000000000000000000000000| LOAD
0c01ffff000000000000000000000000| LOAD_MAP
8b010300000000000000000000000000| FACE_DIR
df000000000000000000000000000000| UNKNOWN_df
db001e00000000000000000000000000| SLEEP
47000000000000000000000000000000| UNKNOWN_47
49000000cc0000000000000000000000| UNKNOWN_49
3200ffff00000000000000006c661602| MSG_PLAIN
e100cc00000000000000000000000000| UNKNOWN_e1
30000000000000000000000000000000| MSG_EXIT
3b1a0000000000000000000000000000| UNKNOWN_3b
d300ffffffffffff00000000cc661602| UNKNOWN_d3
d9001d00000000000000000054651602| OPTION
d9001e00000000000000000044651602| OPTION
f4001d00000000000000000000000000| LABEL
3d000000ffffffff0000000000000000| RENAME
f4001e00000000000000000000000000| LABEL
3b1b0000000000000000000000000000| UNKNOWN_3b
30000000000000000000000000000000| MSG_EXIT
e4000300000000000000000000000000| SET_FLAG
f0000000000000000000000000000000| CLOSE
