f6002700000000000000000070661602| START_THREAD
2d070000000000000000000000000000| LOAD
db002800000000000000000000000000| SLEEP
440000002c0000000000000000000000| PLAY_SONG
db002c01000000000000000000000000| SLEEP
2b00000038ffffff3c00000000000000| UNKNOWN_2b
330000000000000000000000a4651602| MSG_THOUGHT
33000000000000000000000090651602| MSG_THOUGHT
330000000000000000000000d0661602| MSG_THOUGHT
2b00000042ffffff3c00000000000000| UNKNOWN_2b
330000000000000000000000bc651602| MSG_THOUGHT
33000000000000000000000090661602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
db007800000000000000000000000000| SLEEP
2b00000092ffffff3c00000000000000| UNKNOWN_2b
33000000000000000000000054651602| MSG_THOUGHT
2b0000002effffff3200000000000000| UNKNOWN_2b
330000000000000000000000f0661602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
e4000300000000000000000000000000| SET_FLAG
f0000000000000000000000000000000| CLOSE
