f6005200000000000000000070661602| START_THREAD
2d070000000000000000000000000000| LOAD
df000000000000000000000000000000| UNKNOWN_df
db007800000000000000000000000000| SLEEP
440000002d0000000000000000000000| PLAY_SONG
db003c00000000000000000000000000| SLEEP
2b000000be000000be00000000000000| UNKNOWN_2b
26010000000000000000000000000000| UNKNOWN_26
db000100000000000000000000000000| SLEEP
39001e000000000000000000b0661602| MSG_FLOATY
db006400000000000000000000000000| SLEEP
39001e00000000000000000054661602| MSG_FLOATY
db006400000000000000000000000000| SLEEP
39001e0000000000000000001c661602| MSG_FLOATY
db006400000000000000000000000000| SLEEP
39001e00000000000000000038661602| MSG_FLOATY
db000100000000000000000000000000| SLEEP
25010000000000000000000000000000| UNKNOWN_25
e4000300000000000000000000000000| SET_FLAG
f0000000000000000000000000000000| CLOSE
